Recipient.Organization,deliverychannels
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs and CSOs
The Asia Foundation,NGOs and CSOs
"Macedonia, Former Yugoslav Republic of",Public Sector
Mauritania,Public Sector
Asian Disaster Preparedness Centre,NGOs and CSOs
Djibouti,Public Sector
Demining Agency for Afghanistan,NGOs and CSOs
Afghan Technical Consultants,NGOs and CSOs
Organisation for Mine Awareness and Reconstruction,Other
Mine Clearance and Planning Agency,NGOs and CSOs
Clear Path International,NGOs and CSOs
Social Impact,NGOs and CSOs
InterAction,NGOs and CSOs
Plan USA,NGOs and CSOs
Midwest Canvas Corporation,Other
Azerbaijan,Public Sector
Yemen,Public Sector
Caritas Austria,NGOs and CSOs
Chad,Public Sector
Near East Foundation,NGOs and CSOs
Ghana,Public Sector
Egypt,Public Sector
Syrian Arab Republic,Public Sector
Terre des Hommes - Lausanne,NGOs and CSOs
Indonesia,Public Sector
Article 36,NGOs and CSOs
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",NGOs and CSOs
Sudan,Public Sector
Zambia,Public Sector
Eritrea,Public Sector
Venezuela,Public Sector
South Africa,Public Sector
Institutt for Journalistikk,NGOs and CSOs
The Living History Forum,Other
United Nations,UN Multi
Association Morija,NGOs and CSOs
Humanitarian Accountability Partnership International,NGOs and CSOs
International Council of Voluntary Agencies,NGOs and CSOs
Vento di Terra,NGOs and CSOs
Innovasjon Norge,Other
SamerÂdet,Other
Oxford Research Group,NGOs and CSOs
Kompetansesenteret for urfolksrettigheter,Other
International Coalition to Ban Uranium Weapons,NGOs and CSOs
Control Arms,Other
International Work Group for Indigenous Affairs,NGOs and CSOs
Media Frontiers,NGOs and CSOs
International Humanitarian Fact-Finding Commission,Other
Rehabilitation International,NGOs and CSOs
Gyro AS,Other
United Nations Institute for Training and Research,UN Multi
United Nations Operation Programme Support,UN Multi
ETANA Press,NGOs and CSOs
Huairou Commission,Other
NGO Mondo,NGOs and CSOs
"Center for Emergency Aid and Rehabilitation, Inc.",Other
Centre d'Enseignement et de Recherche en Action Humanitaire,NGOs and CSOs
United Nations Environment Programme,UN Multi
Islamic Relief Pakistan,NGOs and CSOs
Hellef fir Rosario,NGOs and CSOs
Somalia Relive Centre,Other
Sudan Medical Care,NGOs and CSOs
Qatar Red Crescent Society,RCRC
Swiss Foundation for Mine Action / Organisation for Security and Cooperation in Europe,Other
Agronomes et VÈtÈrinaires Sans FrontiËres,NGOs and CSOs
Medicos do Mundo,NGOs and CSOs
Joint Standards Initiative,NGOs and CSOs
Private Agencies Collaborating Together,NGOs and CSOs
PROMAN,Other
Women and Children Child Care Organization,NGOs and CSOs
Wardi Relief and Development Initiatives,NGOs and CSOs
Somali Aid Foundations,NGOs and CSOs
Access Relief and Development,Other
Sustainable Development and Peace Building Initiatives,NGOs and CSOs
Tadamun Social Society,NGOs and CSOs
IIDA Women's Development Organization,Other
SWISSO - Kalmo,NGOs and CSOs
Serve Pastoralist International,NGOs and CSOs
Somali Young Doctors Association,NGOs and CSOs
Somali Relief and Development Society,NGOs and CSOs
Sage Organisation,NGOs and CSOs
Horsed Relief and Development Organization,NGOs and CSOs
Himilo Relief and Development Association,NGOs and CSOs
Humanitarian Initiative Just Relief Aid Organization,NGOs and CSOs
Family Empowerment and Relief Organisation,NGOs and CSOs
El Barde Primary Helath Care Organization,Other
Southern Aid,NGOs and CSOs
DEH Relief and Development Organization,NGOs and CSOs
Somali Community Concern,NGOs and CSOs
Formal Education Network for Private Schools,NGOs and CSOs
Centre for Peace and Democracy,NGOs and CSOs
Juba Shine,Other
Swedish Christian Council,NGOs and CSOs
Solidaridad Internacional,NGOs and CSOs
Global Communities,NGOs and CSOs
Malawi,Public Sector
Humanitarian Forum Indonesia,Other
ACT Alliance / Church World Service - Indonesia,NGOs and CSOs
Watanís Social Technical Services Association,Other
Human Resources Development Agency,NGOs and CSOs
Nawayee Rehabilitation and Development Organization for Afghan Women,NGOs and CSOs
Afghanistan Development & Educational Organization,NGOs and CSOs
Solidarity Organization for Rehabilitation of Afghanistan,Public Sector
Shahrukhi Rehabilitation Project,NGOs and CSOs
ChildFund International,NGOs and CSOs
African Medical and Research Foundation,NGOs and CSOs
ACT Alliance / Church World Service,NGOs and CSOs
We Effect,Other
Mercy Malaysia,NGOs and CSOs
Syrian Arab Red Crescent,RCRC
Assessment Capacities Project,NGOs and CSOs
AMEL - Lebanese Association for Popular Action,NGOs and CSOs
Pour une Syrie libre,NGOs and CSOs
GynÈcologie sans frontiËres,NGOs and CSOs
Volontariato Internazionale per lo Sviluppo,NGOs and CSOs
Cooperative Housing Foundation International,NGOs and CSOs
The Humanitarian Forum Yemen,NGOs and CSOs
Nahda Makers Organization,NGOs and CSOs
Sarhad Rural Support Programme,NGOs and CSOs
Centro Integral de RehabilitaciÛn de Colombia,Other
Campana Colombiana Contra Minas,NGOs and CSOs
MIR - MUXO Impact Relief,Other
Open Society Institute Assistance Foundation,NGOs and CSOs
Global Compact,UN Multi
Global Reporting Initiative,NGOs and CSOs
CRC - NGO Group for the Convention on the Rights of the Child,NGOs and CSOs
Human Rights House Foundation,NGOs and CSOs
Organisation for Economic Co-operation and Development,Other multi
Wilton Park,NGOs and CSOs
Action on Armed Violence,NGOs and CSOs
Norsk Ressursbank for demokrati og menneskerettigheter,NGOs and CSOs
Sibro Organization for Development,NGOs and CSOs
Bjerknes Centre for Climate Research,NGOs and CSOs
Stiftung Deutsche Welthungerhilfe,NGOs and CSOs
Plan Indonesia,NGOs and CSOs
ACT Alliance / YAKKUM Emergency Unit,NGOs and CSOs
Burkina Faso,Public Sector
International Campaign to Ban Landmines,NGOs and CSOs
MISOLA,NGOs and CSOs
Agency for Cooperation and Research in Development,NGOs and CSOs
Groupe de Recherche et de RÈalisations pour le DÈveloppement Rural,NGOs and CSOs
Health Limited,Other
FederaciÛn Internacional Fe y AlegrÌ≠a,NGOs and CSOs
Family Planning Organization of the Philippines,NGOs and CSOs
Honduran Red Cross,RCRC
Japan Association for Refugees,NGOs and CSOs
Association for the Advancement of Democratic Rights-Legal Aid,Other
"Social, Humanitarian, Economical Intervention for Local Developmen",NGOs and CSOs
United Nations Office on Drugs and Crime,UN Multi
SociÈtÈ Kolping,NGOs and CSOs
Welfare Association,NGOs and CSOs
ACF - UK,NGOs and CSOs
Czech Evang. Diacony,NGOs and CSOs
DKKV - German Committee for Disaster Reduction,Public Sector
action medeor e.V.,NGOs and CSOs
VOICE ASBL,NGOs and CSOs
Provea - Venezolano de EducaciÛn-AcciÛn en Derechos Humanos,NGOs and CSOs
IPYS - Instituto Prensa y Sociedad,Other
Den norske Helsingforskomite,NGOs and CSOs
Meteorologisk Institutt,Public Sector
"Stiftelsen barn og krig, Children and War",Other
Stiftelsen for en kritisk og uavhengig presse,NGOs and CSOs
International Commission against the Death Penalty - ICDP,Other multi
Norges Geotekniske Institutt,NGOs and CSOs
Slovakia,Public Sector
China,Public Sector
Internationaler Verein f¸r Frieden und Gerechtigkeit - Pro Humanitate e.V. Kˆln,NGOs and CSOs
Lesotho,Public Sector
RedR,NGOs and CSOs
Vision Hope International,NGOs and CSOs
Raqeep Organization for Human Rights,NGOs and CSOs
World Vision Kenya,NGOs and CSOs
Woman Kind Kenya,NGOs and CSOs
Trans-Nzoia Socio-Economic Network,Other
PIDAD,Other
ACT Alliance / National Council of Churches of Kenya,NGOs and CSOs
Merti Integrated Development Programme,NGOs and CSOs
Horn-Aid Kenya,NGOs and CSOs
CARE Kenya,NGOs and CSOs
India,Public Sector
Relief and Recovery Unit - Zimbabwe,UN Multi
Niger,Public Sector
Cooperative League of the USA,Other
Counterpart International,NGOs and CSOs
Centre for International Studies and Cooperation,NGOs and CSOs
Aadamiga USA,NGOs and CSOs
JUPEDEC (United Youth for the Protection of the Environment and Community Development),NGOs and CSOs
Charity Palestinian NGO,NGOs and CSOs
Kanz Humanitarian organization,NGOs and CSOs
Child Care Society,NGOs and CSOs
Al-Ofiq Organization for Development and Emergency,Other
Armadilla S.c.s. Onlus,NGOs and CSOs
Al-Afeea Fund,Other
Stichting War Child,NGOs and CSOs
Social Humanitarian Economical Intervention for Local Development,NGOs and CSOs
Darya Organization for Developing Woman and Community,NGOs and CSOs
World Rehabilitation Fund,NGOs and CSOs
Alternative,Other
Shelter for Life,NGOs and CSOs
MADERA,NGOs and CSOs
Health Poverty Action,NGOs and CSOs
Rural Capacities Development Committee,Other
Alaska Sudan Medical Project,NGOs and CSOs
Rural Water and Sanitation Support Agency,Public Sector
Standard Action Liaison Focus,NGOs and CSOs
Nuer Peace Council,NGOs and CSOs
Mulrany International,Other
Mother and Children Development Aid,Other
Catholic Diocese of Torit,NGOs and CSOs
IBIS,NGOs and CSOs
COPE - The Cooperative Orthotic and Prosthetic Enterprise,NGOs and CSOs
AMURT (Ananda Marga Universal Relief Team) (USA),NGOs and CSOs
Royal Health Awareness Society,NGOs and CSOs
American Lebanese Language Center,Other
ORA e. V. Deutsher Hilfsfonds,NGOs and CSOs
Plan Mali,NGOs and CSOs
Mennonite Central Committee,NGOs and CSOs
Red Cross Organizations | UN Agencies,Other
Den norske lÊgeforening - UD-tilskudd,Other
Humedia International,NGOs and CSOs
Center for Defending Freedom of Journalists,Other
Arab Reporters for Investigative Journalism,NGOs and CSOs
Community Humanitarian Emergency Board,NGOs and CSOs
Armenian Red Cross Society,RCRC
International Planned Parenthood Federation,NGOs and CSOs
Action de DÈvelopement Durable en Afrique,NGOs and CSOs
Coalition to Stop Use of Child Soldiers,NGOs and CSOs
Centre for Civil and Political Rights,NGOs and CSOs
PEN International,NGOs and CSOs
FrËre des Hommes,NGOs and CSOs
International Commission of Jurists,NGOs and CSOs
"PRIO - International Peace Research Institute, Oslo",NGOs and CSOs
Troms¯ Mineskadesenter/Tromsoe Mine Victim Resource Center,NGOs and CSOs
Instituto Sou da Paz,NGOs and CSOs
Studentenes og Akademikernes Internasjonale Hjelpefond,Other
MÈdecins sans FrontiËres - Norway,NGOs and CSOs
Progressive Interventions,Other
Coalition for the International Criminal Court,NGOs and CSOs
Geneva Call,NGOs and CSOs
Brookings Institute,NGOs and CSOs
The Association for Women's Rights in Development,NGOs and CSOs
Ensemble Contre la Peine de Mort,NGOs and CSOs
Hands Off Cain,Other
Thomson Foundation,NGOs and CSOs
Council of Europe Development Bank,Other multi
Partnership Center for Development and Democracy,NGOs and CSOs
Freundschaftsbrucke Deutschland e.V.,NGOs and CSOs
Cambodia,Public Sector
Samir Kassir Foundation,NGOs and CSOs
Maarouf Saad Social and Cultural Foundation,NGOs and CSOs
National Institution of Social Care & Vocational Training,NGOs and CSOs
Heinrich Bˆll Foundation,NGOs and CSOs
Lebanon Support,NGOs and CSOs
Canadian Journalists Free Expression,NGOs and CSOs
Transparency International,NGOs and CSOs
Global Centre for the Responsibility to Protect,NGOs and CSOs
Initiativ for Etisk Handel,Other
Minority Rights Group International,NGOs and CSOs
Det Norske Menneskerettighetsfond,NGOs and CSOs
International Service for Human Rights,NGOs and CSOs
Red Cross of Viet Nam,RCRC
Suvannimit Foundation,NGOs and CSOs
United Nations Disaster Assessment and Coordination,UN Multi
Missions‰rztliches Institut W¸rzburg,NGOs and CSOs
FAIRMED Foundation,NGOs and CSOs
Swiss Red Cross,RCRC
Ruedi Leuppi Stiftung Elfenbeink¸ste,NGOs and CSOs
International Volunteer Center of Yamagata,NGOs and CSOs
Peace Winds Japan,NGOs and CSOs
Kokkyo naki Kodomotachi (Children without Borders),NGOs and CSOs
Terre des Hommes - Germany,NGOs and CSOs
Shanti Volunteer Association,NGOs and CSOs
Telecom for Basic Human Needs,Other
Reseau des Entrepreneurs Solidaires,NGOs and CSOs
VÈtÈrinaire sans Frontieres,NGOs and CSOs
Mission am Nill,NGOs and CSOs
Red Cross Organizations | NGOs | UN Agencies,Other
Arab Women Association,NGOs and CSOs
International Resources Group,Other
DHL International,Other
National Society for Earthquake Technology,NGOs and CSOs
Center for International Studies and Cooperation,NGOs and CSOs
Magna Deti v nudzi [Magna Children at Risk],NGOs and CSOs
Iqra Cultural Center,Other
Albania,Public Sector
Canadian Physicians for Aid and Relief,NGOs and CSOs
Marshall Legacy Institute,NGOs and CSOs
Delvon Assistance for Social Harmony (DASH),NGOs and CSOs
Women And Health Alliance,NGOs and CSOs
Japan Asian Association and Asian Friendship Society,NGOs and CSOs
Cameroon,Public Sector
Peru,Public Sector
ACT Alliance / Act for Peace,NGOs and CSOs
Nicaraguan Red Cross,RCRC
Foley Hoag LLP,Other
Afghanistankomiteen i Norge,NGOs and CSOs
Singapore Red Cross Society,RCRC
Bulgarian Red Cross,RCRC
Terra Tech,Other
UN Agencies | Red Cross Organizations | NGOs,Other
Aktion Deutschland Hilft,NGOs and CSOs
Action SolidaritÈ Tiers Monde,NGOs and CSOs
World Vision Philippines,NGOs and CSOs
SOS Children's Villages,NGOs and CSOs
Asian Development Bank,Other multi
Telecom Sans Frontieres,NGOs and CSOs
ACT Alliance,NGOs and CSOs
Albanian Red Cross,RCRC
Afghan Research and Evaluation Unit,NGOs and CSOs
Disasters Emergency Committee (UK),NGOs and CSOs
Croatian Red Cross,RCRC
MÈdecins sans FrontiËres - Luxembourg,NGOs and CSOs
Institute of Cultural Affairs Japan,NGOs and CSOs
CWS Japan,NGOs and CSOs
Bulgaria,Public Sector
Rural Agency for Community Development and Assistance,NGOs and CSOs
FilmAid International,NGOs and CSOs
RefuSHE (Former Heshima Kenya),NGOs and CSOs
World University Service - Canada,NGOs and CSOs
HIAS RefugeeTrust,Other
Pastoralist Development Organization,NGOs and CSOs
Danish People's Aid,NGOs and CSOs
Good Neighbours Inc,NGOs and CSOs
Cooperative for Assistance and Relief Everywhere,NGOs and CSOs
Humanitarian Cargo Carriers,Other
ACT Alliance / Christian Aid UK,NGOs and CSOs
The Norwegian Helsinki Committee,Other
World Association of Children's Friends,NGOs and CSOs
Russian Red Cross Society,RCRC
Salvadorean Red Cross Society,RCRC
SAH - Schweizerisches Arbeiterhilfswerk,NGOs and CSOs
DCP-TV,Other
MediCuba-Suisse,NGOs and CSOs
International Health Partners,NGOs and CSOs
Basic Education and Employable Skill Training,Other
Thailand Burma Border Consortium,NGOs and CSOs
Rwanda,Public Sector
Humanitarian Relief Foundation,NGOs and CSOs
CANADEM,NGOs and CSOs
ACF - Canada,NGOs and CSOs
Centre for Peacekeeping and Community Development,NGOs and CSOs
Agency for Rehabilitation and Development,NGOs and CSOs
IHI - International Humanitarian Initiative,Other
Thailand,Public Sector
Republic of South Sudan,Public Sector
Office for Drug Control and Crime Prevention,Other
Volunteer Organization for the International Co-operation la Nostra Famiglia,NGOs and CSOs
Fondation Luxembourgeoise Raoul Follereau,NGOs and CSOs
Oeuvre d'Orient,NGOs and CSOs
Life for Syria,Other
SAM - Schweizer Allianz Mission,NGOs and CSOs
NGO Safety Program,NGOs and CSOs
Participatory Rural Development Society,NGOs and CSOs
Health and Environment Development Society,Other
Islamic Help,NGOs and CSOs
Association for Gender Awareness and Human Empowerment,NGOs and CSOs
Friends Foundation,NGOs and CSOs
Help In Need,Other
Badin Development Organization,NGOs and CSOs
Lead Against Marginality and Poverty,NGOs and CSOs
MOJAZ Foundation,NGOs and CSOs
PREPARED,Other
Rural Empowerment and Institutional Development,Other
Thai Red Cross Society,RCRC
"Korea, Republic of",Public Sector
Iraq,Public Sector
Japan Actions for Relief Center,Other
Rebatisseurs de la muraille des oeuvres de Dieu,NGOs and CSOs
Humanitarian Policy Group,NGOs and CSOs
International NGO Safety Organisation,NGOs and CSOs
Senegal,Public Sector
Community Research and Development Organization,NGOs and CSOs
Balochistan Rural Development Society,NGOs and CSOs
Lamset Shifa,NGOs and CSOs
Al Mamoura Humanitarian Establishment,NGOs and CSOs
Ìíganizasyon Fanm tou NËf Balan,Other
Caritas Haiti,NGOs and CSOs
UNDP for UNDSS,UN Multi
Aertze der Welt e.V.,NGOs and CSOs
Harvard University,NGOs and CSOs
Charitable Society for Social Welfare,NGOs and CSOs
North Atlantic Treaty Organization,Other multi
Nippon International Cooperation for Community Development,NGOs and CSOs
NÊrings- og Handelsdepartementet,Other
Benposta NaciÛn de Muchachos,NGOs and CSOs
The Kvinna till Kvinna Foundation,NGOs and CSOs
Danchurchaid / Danish De-mining Group,NGOs and CSOs
Uganda ERF (until 2010),UN Multi
Iraq Humanitarian Fund,UN Multi
Action by Churches Together (ACT),NGOs and CSOs
Collectif du developpement et du secours syrien,NGOs and CSOs
Danmission,NGOs and CSOs
