Recipient.Organization,recipientcodename
Stiftung Deutsche Welthungerhilfe,foundations
Plan Indonesia,NGOs
ACT Alliance / YAKKUM Emergency Unit,NGOs
Burkina Faso,National government
International Campaign to Ban Landmines,NGOs
MISOLA,NGOs
Agency for Cooperation and Research in Development,NGOs
Groupe de Recherche et de RÈalisations pour le DÈveloppement Rural,NGOs
Health Limited,private sector corporations
FederaciÛn Internacional Fe y AlegrÌ≠a,NGOs
Family Planning Organization of the Philippines,NGOs
Honduran Red Cross,red cross
Japan Association for Refugees,NGOs
Association for the Advancement of Democratic Rights-Legal Aid,Undefined
"Social, Humanitarian, Economical Intervention for Local Developmen",NGOs
United Nations Office on Drugs and Crime,UN Multi
SociÈtÈ Kolping,NGOs
Welfare Association,NGOs
ACF - UK,NGOs
Czech Evang. Diacony,NGOs
DKKV - German Committee for Disaster Reduction,DAC governments
action medeor e.V.,NGOs
VOICE ASBL,NGOs
Provea - Venezolano de EducaciÛn-AcciÛn en Derechos Humanos,NGOs
IPYS - Instituto Prensa y Sociedad,other
Den norske Helsingforskomite,NGOs
Meteorologisk Institutt,DAC governments
"Stiftelsen barn og krig, Children and War",private sector corporations
Stiftelsen for en kritisk og uavhengig presse,foundations
International Commission against the Death Penalty - ICDP,Other multi
Norges Geotekniske Institutt,academia/think/research
Slovakia,DAC governments
China,National government
Internationaler Verein f¸r Frieden und Gerechtigkeit - Pro Humanitate e.V. Kˆln,NGOs
Lesotho,National government
RedR,NGOs
Vision Hope International,NGOs
Raqeep Organization for Human Rights,NGOs
World Vision Kenya,NGOs
Woman Kind Kenya,NGOs
Trans-Nzoia Socio-Economic Network,other
PIDAD,other
ACT Alliance / National Council of Churches of Kenya,NGOs
Merti Integrated Development Programme,NGOs
Horn-Aid Kenya,NGOs
CARE Kenya,NGOs
India,National government
Relief and Recovery Unit - Zimbabwe,UN Multi
Niger,National government
Cooperative League of the USA,other
Counterpart International,NGOs
Centre for International Studies and Cooperation,NGOs
Aadamiga USA,NGOs
JUPEDEC (United Youth for the Protection of the Environment and Community Development),NGOs
Charity Palestinian NGO,NGOs
Kanz Humanitarian organization,NGOs
Child Care Society,NGOs
Al-Ofiq Organization for Development and Emergency,other
Armadilla S.c.s. Onlus,NGOs
Al-Afeea Fund,other
Stichting War Child,NGOs
Social Humanitarian Economical Intervention for Local Development,NGOs
Darya Organization for Developing Woman and Community,NGOs
World Rehabilitation Fund,NGOs
Alternative,other
Shelter for Life,NGOs
MADERA,NGOs
Health Poverty Action,NGOs
Rural Capacities Development Committee,other
Alaska Sudan Medical Project,NGOs
Rural Water and Sanitation Support Agency,National government
Standard Action Liaison Focus,NGOs
Nuer Peace Council,NGOs
Mulrany International,private sector corporations
Mother and Children Development Aid,Undefined
Catholic Diocese of Torit,private individual/organisation
IBIS,NGOs
COPE - The Cooperative Orthotic and Prosthetic Enterprise,NGOs
AMURT (Ananda Marga Universal Relief Team) (USA),NGOs
Royal Health Awareness Society,NGOs
American Lebanese Language Center,other
ORA e. V. Deutsher Hilfsfonds,NGOs
Plan Mali,NGOs
Mennonite Central Committee,NGOs
Red Cross Organizations | UN Agencies,Undefined
Den norske lÊgeforening - UD-tilskudd,other
Humedia International,NGOs
Center for Defending Freedom of Journalists,other
Arab Reporters for Investigative Journalism,NGOs
Community Humanitarian Emergency Board,NGOs
Armenian Red Cross Society,red cross
International Planned Parenthood Federation,NGOs
Action de DÈvelopement Durable en Afrique,NGOs
Coalition to Stop Use of Child Soldiers,NGOs
Centre for Civil and Political Rights,academia/think/research
PEN International,private individual/organisation
FrËre des Hommes,NGOs
International Commission of Jurists,NGOs
"PRIO - International Peace Research Institute, Oslo",academia/think/research
Troms¯ Mineskadesenter/Tromsoe Mine Victim Resource Center,academia/think/research
Instituto Sou da Paz,academia/think/research
Studentenes og Akademikernes Internasjonale Hjelpefond,other
MÈdecins sans FrontiËres - Norway,NGOs
Progressive Interventions,other
Coalition for the International Criminal Court,NGOs
Geneva Call,NGOs
Brookings Institute,NGOs
The Association for Women's Rights in Development,private individual/organisation
Ensemble Contre la Peine de Mort,private individual/organisation
Hands Off Cain,other
Thomson Foundation,foundations
Council of Europe Development Bank,Other multi
Partnership Center for Development and Democracy,NGOs
Freundschaftsbrucke Deutschland e.V.,NGOs
Cambodia,National government
Samir Kassir Foundation,foundations
Maarouf Saad Social and Cultural Foundation,NGOs
National Institution of Social Care & Vocational Training,NGOs
Heinrich Bˆll Foundation,foundations
Lebanon Support,academia/think/research
Canadian Journalists Free Expression,NGOs
Transparency International,NGOs
Global Centre for the Responsibility to Protect,academia/think/research
Initiativ for Etisk Handel,other
Minority Rights Group International,NGOs
Det Norske Menneskerettighetsfond,NGOs
International Service for Human Rights,NGOs
Red Cross of Viet Nam,red cross
Suvannimit Foundation,foundations
United Nations Disaster Assessment and Coordination,UN Multi
Missions‰rztliches Institut W¸rzburg,academia/think/research
FAIRMED Foundation,foundations
Swiss Red Cross,red cross
Ruedi Leuppi Stiftung Elfenbeink¸ste,foundations
International Volunteer Center of Yamagata,NGOs
Peace Winds Japan,NGOs
Kokkyo naki Kodomotachi (Children without Borders),NGOs
Terre des Hommes - Germany,NGOs
Shanti Volunteer Association,NGOs
Telecom for Basic Human Needs,private sector corporations
Reseau des Entrepreneurs Solidaires,NGOs
VÈtÈrinaire sans Frontieres,NGOs
Mission am Nill,NGOs
Red Cross Organizations | NGOs | UN Agencies,Undefined
Arab Women Association,NGOs
International Resources Group,private sector corporations
DHL International,private sector corporations
National Society for Earthquake Technology,academia/think/research
Center for International Studies and Cooperation,NGOs
Magna Deti v nudzi [Magna Children at Risk],NGOs
Iqra Cultural Center,other
Albania,National government
Canadian Physicians for Aid and Relief,NGOs
Marshall Legacy Institute,academia/think/research
Delvon Assistance for Social Harmony (DASH),NGOs
Women And Health Alliance,NGOs
Japan Asian Association and Asian Friendship Society,NGOs
Cameroon,National government
Peru,National government
ACT Alliance / Act for Peace,NGOs
Nicaraguan Red Cross,red cross
Foley Hoag LLP,private sector corporations
Afghanistankomiteen i Norge,NGOs
Singapore Red Cross Society,red cross
Bulgarian Red Cross,red cross
Terra Tech,private sector corporations
UN Agencies | Red Cross Organizations | NGOs,Undefined
Aktion Deutschland Hilft,NGOs
Action SolidaritÈ Tiers Monde,NGOs
World Vision Philippines,NGOs
SOS Children's Villages,NGOs
Asian Development Bank,Other multi
Telecom Sans Frontieres,NGOs
ACT Alliance,NGOs
Albanian Red Cross,red cross
Afghan Research and Evaluation Unit,academia/think/research
Disasters Emergency Committee (UK),NGOs
Croatian Red Cross,red cross
MÈdecins sans FrontiËres - Luxembourg,NGOs
Institute of Cultural Affairs Japan,NGOs
CWS Japan,NGOs
Bulgaria,National government
Rural Agency for Community Development and Assistance,NGOs
FilmAid International,NGOs
RefuSHE (Former Heshima Kenya),NGOs
World University Service - Canada,NGOs
HIAS RefugeeTrust,other
Pastoralist Development Organization,private individual/organisation
Danish People's Aid,NGOs
Good Neighbours Inc,NGOs
Cooperative for Assistance and Relief Everywhere,NGOs
Humanitarian Cargo Carriers,other
ACT Alliance / Christian Aid UK,NGOs
The Norwegian Helsinki Committee,other
World Association of Children's Friends,NGOs
Russian Red Cross Society,red cross
Salvadorean Red Cross Society,red cross
SAH - Schweizerisches Arbeiterhilfswerk,NGOs
DCP-TV,private sector corporations
MediCuba-Suisse,NGOs
International Health Partners,NGOs
Basic Education and Employable Skill Training,other
Thailand Burma Border Consortium,NGOs
Rwanda,National government
Humanitarian Relief Foundation,NGOs
CANADEM,NGOs
ACF - Canada,NGOs
Centre for Peacekeeping and Community Development,academia/think/research
Agency for Rehabilitation and Development,NGOs
IHI - International Humanitarian Initiative,other
Thailand,National government
Republic of South Sudan,National government
Office for Drug Control and Crime Prevention,other
Volunteer Organization for the International Co-operation la Nostra Famiglia,NGOs
Fondation Luxembourgeoise Raoul Follereau,foundations
Oeuvre d'Orient,NGOs
Life for Syria,Undefined
SAM - Schweizer Allianz Mission,NGOs
NGO Safety Program,NGOs
Participatory Rural Development Society,NGOs
Health and Environment Development Society,other
Islamic Help,NGOs
Association for Gender Awareness and Human Empowerment,NGOs
Friends Foundation,foundations
Help In Need,other
Badin Development Organization,NGOs
Lead Against Marginality and Poverty,NGOs
MOJAZ Foundation,foundations
PREPARED,other
Rural Empowerment and Institutional Development,other
Thai Red Cross Society,red cross
"Korea, Republic of",DAC governments
Iraq,National government
Japan Actions for Relief Center,other
Rebatisseurs de la muraille des oeuvres de Dieu,NGOs
Humanitarian Policy Group,academia/think/research
International NGO Safety Organisation,NGOs
Senegal,National government
Community Research and Development Organization,NGOs
Balochistan Rural Development Society,NGOs
Lamset Shifa,NGOs
Al Mamoura Humanitarian Establishment,NGOs
Ìíganizasyon Fanm tou NËf Balan,Undefined
Caritas Haiti,NGOs
UNDP for UNDSS,UN Multi
Aertze der Welt e.V.,NGOs
Harvard University,academia/think/research
Charitable Society for Social Welfare,NGOs
North Atlantic Treaty Organization,Other multi
Nippon International Cooperation for Community Development,NGOs
NÊrings- og Handelsdepartementet,other
Benposta NaciÛn de Muchachos,NGOs
The Kvinna till Kvinna Foundation,foundations
Danchurchaid / Danish De-mining Group,NGOs
Uganda ERF (until 2010),CBPF
Iraq Humanitarian Fund,CBPF
Action by Churches Together (ACT),NGOs
Collectif du developpement et du secours syrien,NGOs
Danmission,NGOs
Hungarian Malteser Charity Service,NGOs
Health Link South Sudan,NGOs
Operation Save Innocent Lives - Partners in Relief and Development,NGOs
Al-Amal Community for Social Welfare,other
Enfants Refugies du Monde,NGOs
GROUPE URD,academia/think/research
Feinstein Center,academia/think/research
ZIF - Center for International Peace Operations,NGOs
Islamic Commission of Care,other
Joint IDP Profiling Service,academia/think/research
Humanitarian Action for the People Afghanistan,other
Wahdat Rehabilitation and Development Organization for Afghan Women,other
DAC Aviation International,private sector corporations
Estonia Red Cross,red cross
Care Czech Republic,NGOs
World Vision Ireland,NGOs
Aweil Relief Agency for Reintegration and Development,NGOs
Japan International Cooperation Agency,DAC governments
"The Institute of Cultural Affairs, Japan",private individual/organisation
JAFS,other
Soryiat,other
Results Japan,other
FMYY,private individual/organisation
Damascus People Participation,NGOs
Al Ihsan NGO,NGOs
Civi Development Organization,NGOs
Youth Activity Organization,other
Kurdistan Reconstruction and Development Society,NGOs
Harikar NGO,NGOs
Medical Aid for Palestinians,NGOs
Jmaaiat Al ayadi Albaidaa - Lebanon,other
Centre canadien d'Ètude et de coopÈration internationale (CECI),NGOs
Christian Children's Fund,NGOs
Development and Peace,NGOs
Global Medic,foundations
Humanity First,other
ACT Alliance / World Renew,NGOs
International Islamic Charitable Organization,NGOs
ACT Alliance / Canadian Lutheran World Relief,NGOs
Land Research Center,academia/think/research
Union of Agricultural Work Committees,NGOs
Applied Research Institute Jerusalem,academia/think/research
Dorcas Aid International,NGOs
HRG Hogg Robinson Nordic AS,private sector corporations
Yemen Family Care Association,NGOs
Interaction in Development Foundation,NGOs
Al-Ahleya Association for the development of palm and dates,NGOs
Economic & Social Development Centre of Palestine,NGOs
Palestinian Agricultural Relief Committees,NGOs
Rural Centre for Sustainable Development,other
Tomooh Association for Skills Development,foundations
Palestinian Environmental Friends,NGOs
Alfajr Palestinian Youth Association,NGOs
International Law and Policy Institute,academia/think/research
Actions MÈdicales Internationale,NGOs
AGHSAN,other
Ad Council,NGOs
Fleet Forum,academia/think/research
International Initiative for Impact Evaluation (3ie),academia/think/research
Slovenian Red Cross,red cross
Global Human Rights Defence,NGOs
International Talk Network Ltd,other
UN Resident Coordinator's Office,UN Multi
Africa Humanitarian Action,NGOs
Nyein (Shalom) Foundation,NGOs
Central African Republic,National government
Philippine Jesuit Foundation,foundations
Lead Development Agency,NGOs
Development and Regeneration Association,NGOs
"Movimiento por la Paz, el Desarme y la Libertad",NGOs
"FundaciÛn Alianza por Los Derechos, la Igualdad y  la Solidaridad Internacional",NGOs
